ID,Model 1 R^2,Model 2 R^2,Model 3 R^2,Model 4 R^2,Model 5 R^2,Model 6 R^2,Model 7 R^2,Model 8 R^2,Model 1 BIC,Model 2 BIC,Model 3 BIC,Model 4 BIC,Model 5 BIC,Model 6 BIC,Model 7 BIC,Model 8 BIC,Pop_Size_units,Temp_C,Medium,Species,Repeat,Citation,N05,Nmax5,Rmax5,Tlag5,N06,Nmax6,Rmax6,Tlag6,N07,Nmax7,Rmax7,Tlag7,N08,Nmax8,Rmax8,Tlag8
45221,0.617,0.98,0.991,1,0.972,0.987,0.987,0.872,25.31,9.253,6.209,-21.58,11.3,8.819,8.771,22.33,CFU,4,Cooked Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.07390029754496649,9.953448440795123,0.021154767976737567,0.08094150889413661,4.384169831837266,9.84532270953786,0.22549449480467207,258.95837775352527,0.0020210295596528073,9.847419686546004,0.09590572549504085,112.47081443502785,0.09289963629879194,10.825752944832791,0.08469669169656087,97.81381334774666
45882,0.974,0.983,0.997,0.999,0.931,0.993,0.995,0.995,11.97,11.24,2.232,-5.616,19.67,7.618,5.455,6.282,N,6,Pasteurised Skim Milk,Serratia marcescens,1,"Phillips, J.D. and Griffiths, M.W., 1987. The relation between temperature and growth of bacteria in dairy products. Food Microbiology, 4(2), pp.173-185.",0.17878165793925993,8.437968953209204,7.13905402751894e-4,0.2222077360859803,1.1478702260353013,9.302860770913147,0.0024234538988415853,2817.7083965411534,1.0195748145514023,8.893244157506064,0.00200631490250559,2113.615614368674,0.9846526184211305,8.859867400869664,0.0019477798639741975,1953.6657766676192
45910,0.953,0.962,0.978,0.999,0.478,0.967,0.98,0.984,14.33,14.85,13.39,-3.132,30.56,15.78,12.72,11.41,N,20,C02 Beef Striploins,Salmonella Typhimurium,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",5.02168157440009,11.867113301865132,6.894636220304937,2.4068081502335748,6.380943782710268,13.08349241530631,11.931472937529666,0.2057272233293783,6.255454222092861,12.488338687136949,10.161225737146072,0.07689745332419226,6.225835528342837,12.327904565874737,10.023015494427664,0.05684110910248567
46501,0.00741,0.567,0.877,0.96,0.00924,-0.0882,0.0113,-0.073,-55.88,-71.03,-95.68,-117,-52.83,-47.68,-49.79,-47.99,OD_595,15,TSB,Acinetobacter.clacoaceticus..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.13951738789374943,0.22349146639337442,0.0011259396425872844,0.030728933666614323,0.009813686572945665,0.22349146639337442,0.007050205893303584,0.6276053911338001,0.14040258577449916,0.24639934169869532,5.694601337019826e-4,0,0.007184182240761544,0.22349146639337442,0.006579542081683767,0.07500551908738315
46564,0.77,0.816,0.839,0.857,0.815,0.848,0.843,0.879,1.388,1.774,2.786,3.9,1.793,2.386,2.614,0.7995,DryWeight,20,Z8,Oscillatoria agardhii StrainCYA 128,1,"Sivonen, K., 1990. Effects of light, temperature, nitrate, orthophosphate, and bacteria on growth of and hepatotoxin production by Oscillatoria agardhii strains. Appl. Environ. Microbiol., 56(9), pp.2658-2666.",1.3961438275819917,2.513559156919768,0.005210285862188511,0.1836186508873677,1.4575400899464634,2.348290085089259,0.00907794374491847,65.94706302098136,1.448760322284071,2.348290085089259,0.015770455968317287,115.71007408514559,1.4946240439903948,2.348290085089259,0.007516193123413353,72.89785773116895
47651,0.507,0.808,0.935,0.977,0.979,0.981,0.981,0.98,-3.299,-16.55,-32.17,-47.09,-54.26,-52.71,-52.99,-52.19,OD_595,35,TSB,Clavibacter.michiganensis..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.04160155421263035,0.6811432242690891,0.3375099173952237,0.011213612921182923,0.010744605613665482,0.6811432242690891,0.12276002542349691,1.7549765945247382,0.0030085438664579087,0.6811432242690891,0.26640840958939777,4.664677937764831,0,0.6811432242690891,0.09930421356794263,0.29476332487649487
48106,0.822,0.947,0.949,0.953,0.859,0.667,0.915,0.675,561.5,383.9,382.7,374.1,530.9,665.9,459.3,662,N,10,MRS,Lactobaciulus plantarum,1,"Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.",0.8927502104033203,12.179232369628203,0.037059678265280505,0.14843690520311797,3.3053303443768516,12.179232369628203,10.499808772856666,97.72410205805757,1.4856871953564619,12.179232369628203,0.12586240906647056,0,3.9486585194322226,12.179232369628203,12.788193988109613,97.97262519669619
48235,0.579,0.868,0.933,0.943,0.978,0.967,0.972,0.967,51.54,41.2,36.16,36.72,21.3,28.44,26.54,28.24,CFU,30,TGE agar,Arthrobacter sp. 88,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",0.09120212590489352,9.675669494553006,0.08288264601890262,0.05614120259216919,0.6701739308796004,9.710624602838624,0.4121346368290853,30.3165619395114,0.972664289315299,9.648075194125976,0.35512495829352797,30.3165619395114,1.198905457659257,9.648766730855947,0.3415073825474752,30.3165619395114
48511,0.666,0.862,0.872,0.884,0.605,0.924,0.909,0.924,39.38,32.02,33.64,34.94,43.62,27.93,29.86,27.87,N,8,ESAW,Tetraselmis tetrahele,1,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",9.210149940458587,13.705617482436818,0.014088439653828414,1.490125408894453,9.495049702751647,14.129130275474102,0.053536155983484233,88.46031852381356,9.564369226101592,14.12939939463191,0.043781440164703304,83.20490524283093,9.731412601438517,14.145607032681841,0.0379872043375877,76.22279698363879
50066,0.671,0.845,0.846,0.887,0.555,0.925,0.914,0.901,41.58,35.71,38.05,37.06,47.3,30.09,31.62,33.15,N,8,ESAW,Tetraselmis tetrahele,4,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",7.349660715472774,13.676428696426614,0.014196631713415338,1.783326253796704,9.144767532048263,14.12757291416101,0.06105361547980968,121.36713871887243,9.174270737125637,14.09484456175747,0.05236757816081372,114.71537362874916,9.510951679752239,14.22599670118844,0.030368712803895442,80.83490745351726
50152,0.619,0.898,0.953,0.973,0.944,0.934,0.921,0.918,30.91,22.48,18.38,16.03,17.66,21.07,22.51,22.81,CFU,30,TGE agar,Arthrobacter globiformis,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",2.2840770368999617,7.462048523407986,0.04910271050282295,0.48895957208456625,2.0314988813540182,7.513659625023908,0.2063609453669858,0,2.307755674601646,7.47206061252194,0.1646762563218039,0,2.6672629282652545,7.486276979869459,0.1518307468947326,2.336609391680052
51094,0.936,0.985,0.987,0.992,0.953,0.993,0.982,0.981,41.75,26.59,27.25,23.5,40.5,19.86,31.71,31.96,CFU,15,Cooked Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.1961539922394822,11.990973880655686,0.10908244593541622,0.14336328832162773,0,13.220048703422895,0.43599834040830804,6.947874759103908,0.7591022262362199,12.27753429676791,0.35608423738401135,6.629673007737684,1.0616853814410396,12.308004482477678,0.3523674487443217,8.352748638366235
51453,0.147,0.588,0.871,0.927,0.768,0.758,0.733,0.758,-3.196,-17.5,-42.18,-52.73,-31.29,-27.12,-24.77,-27.06,OD_595,15,TSB,Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.02941275737827294,0.6769463423636718,0.07564271854482545,0.03431445929491636,0,0.6769463423636718,0.030875239003359367,7.385567922164074,0,0.6769463423636718,0.045136926542916844,7.385567922164074,0,0.6769463423636718,0.02204990770273379,7.385567922164074
51552,0.562,0.924,0.97,0.97,0.989,0.989,0.882,0.99,-49.41,-96.8,-120.5,-117.2,-154.2,-148.9,-80.65,-153.4,OD_595,5,TSB,Klebsiella.pneumonia,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.041272853020277354,0.4650380003852751,0.02364521035418993,0.005248307802635678,0.06355004554305665,0.46529365250979887,0.007070384137744592,43.17773269443037,0.07957970542072419,0.503471624432901,0.006793827377498878,0,0.05175037448440328,0.4628881150523137,0.00492761754279651,15.928091886957072
51899,0.557,0.921,0.953,0.961,0.98,0.996,0.992,0.992,43.75,28.82,25.87,26.48,14.84,2.271,8.82,8.406,CFU,30,TGE agar,Arthrobacter sp. 77,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.1006627437929875,8.03114771229884,0.06057153250255678,0.24148949616114398,1.7048983442553864,7.970994398907863,0.34510352780666903,17.3006509357201,1.7570321440330103,7.807969294139844,0.3147827059524018,17.3006509357201,1.898612035031981,7.795970546211333,0.3058985924409715,17.3006509357201
52123,0.818,0.859,0.866,0.942,0.864,0.913,0.856,0.823,-4.29,-4.141,-2.523,-6.404,-4.388,-5.573,-2.002,-0.5997,DryWeight,15,Z8,Oscillatoria agardhii StrainCYA 128,1,"Sivonen, K., 1990. Effects of light, temperature, nitrate, orthophosphate, and bacteria on growth of and hepatotoxin production by Oscillatoria agardhii strains. Appl. Environ. Microbiol., 56(9), pp.2658-2666.",1.4346782926852102,2.2739622655140077,0.005352960839132163,0.12079199076586576,1.47414850250454,2.1362537406118145,0.012259457450308441,78.82714762487727,1.4717025740193894,2.3552197490245255,0.0057271405160262,0,1.4765565312434987,2.15424044840989,0.004444411975040413,0.8424576979535456
52419,0.546,0.578,0.644,0.85,0.0427,0.839,0.839,0.626,45.65,47.25,47.69,39.78,57.08,38.17,38.17,48.3,N,32,ESAW,Tetraselmis tetrahele,4,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",8.342742240282023,11.706347964123513,0.012113501903081764,2.3493704991845714,8.482128045818554,11.96155748565955,0.1970706764000926,273.54105251042495,8.482128619742083,11.9614729870245,0.3282628131416907,293.7146526675273,8.934629715368908,12.906248630446173,0.015557664898666203,177.69347724823515
52565,0.88,0.989,0.989,0.99,0.966,0.973,0.981,0.97,-29.91,-56.01,-53.75,-52.12,-42.44,-42.95,-47,-41.48,OD_595,25,TSB,Chryseobacterium.balustinum,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.045866029941518706,0.4134246048519318,0.04468595841116982,0.011507034082875277,0.01574819678371278,0.4134246048519318,0.010275476116164967,1.94379293013904,0.003041178532147555,0.4134246048519318,0.02349771439357363,1.94379293013904,0.04256691530802215,0.4134246048519318,0.007416184003531711,1.94379293013904
52796,0.355,0.816,0.933,0.959,0.885,0.887,0.886,0.887,8.174,-9.08,-22.58,-27.75,-16.65,-14.21,-14.04,-14.12,OD_595,25,TSB,Dickeya.zeae,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.02274197678863397,0.8059910329567115,0.3901160408136388,0.023387556321786816,0.03794514719218608,0.8059910329567115,0.20418398469103238,4.715190476317708,0.003841188612711175,0.8059910329567115,0.5120062202752228,6.84065588875859,0.03659166808825424,0.8059910329567115,0.1680877165271163,3.963632751529977
53060,5.47e-5,0.512,0.514,0.595,4.55e-5,0.191,0.114,0.195,-222.1,-239.5,-236.3,-238.2,-218.8,-221.5,-218.9,-221.7,OD_595,5,TSB,Klebsiella.pneumonia..RDA.R.,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.011838113721375143,0.018330056930374435,3.24087330318432e-5,0.0024278137126603223,0.011047928591415748,0.018330056930374435,1.8033487442213072e-4,551.8107211454512,0.010579890468070893,0.018330056930374435,0.01745719707654708,551.8107211454512,0.011058183307052117,0.01745719707939432,1.7894128235902045e-4,551.8107211454512
53327,0.972,0.977,0.999,0.999,0.953,0.994,0.999,0.999,17.18,17.65,-2.476,-1.825,23.34,9.531,-5.85,-5.753,N,6,UHT Double Cream,Serratia marcescens,1,"Phillips, J.D. and Griffiths, M.W., 1987. The relation between temperature and growth of bacteria in dairy products. Food Microbiology, 4(2), pp.173-185.",0.26941699063838354,8.801687960663541,8.291441335644221e-4,0.2656596900397982,1.028229072358712,9.703860976631555,0.0029966417217007447,1709.4850628296053,0.9968805771850111,9.28414398272705,0.0023769030181426632,1062.6877032230666,1.000000013470788,9.211128514008104,0.0023408381687479974,1014.8056454594902
54500,0.411,0.907,0.946,0.96,0.905,0.899,0.84,0.91,-52.69,-103,-115.5,-120.9,-102.1,-97.16,-83.68,-100.6,OD_595,5,TSB,Pseudomonas.fluorescens,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.010791702202671402,0.34270571322002086,0.027208940397359264,0.00691884759087681,0.02960344407370074,0.34270571322002086,0.006427393693623769,75.66321830738534,0,0.34270571322002086,0.009877534992432605,23.19869648299488,0.011156079333523862,0.34270571322002086,0.004109977110043558,38.85821457361478
54961,0.015,0.606,0.61,0.664,-0.00139,0.189,0.0548,0.196,-220,-243.1,-240.1,-241.1,-216.1,-218.9,-214.4,-219.1,OD_595,5,TSB,Dickeya.zeae,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.012441076056617806,0.018984692732152156,2.965097788697859e-5,0.0025375076468830467,0.011670238963361466,0.018984692732152156,4.1010147490461234e-4,575.910598917409,0.011245365040023898,0.020930623737197753,0.019933927368759763,575.910598917409,0.011697093836743855,0.020930623737197753,4.746992191194278e-4,451.5745132765228
54964,0.00739,0.532,0.891,0.961,0.00852,-0.16,0.00982,-0.175,-46.65,-62.25,-95.33,-118.1,-43.46,-36.31,-40.27,-35.99,OD_595,15,TSB,Acinetobacter.clacoaceticus,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.1585059416908722,0.2806181916661164,8.329553998317804e-4,0.03288442196294636,0.003672607734477488,0.2806181916661164,0.01646684116739002,0,0.15489944663639782,0.30938155631189335,6.133801001971149e-4,0,0.005480160806346729,0.2806181916661164,0.07991290353434878,3.6371160699106992
55109,0.505,0.777,0.881,0.928,0.99,0.991,0.991,0.985,6.879,-17.53,-35.93,-49.9,-127.1,-128.2,-124.9,-107.5,OD_595,15,TSB,Klebsiella.pneumonia,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.06314103538595543,0.8512542110328203,0.31274737037411016,0.009991638341249102,0,0.8543565302500815,0.11746159424525363,0.10616636754526168,0.04256012115552128,0.8546880814321425,0.17839969115723064,2.9068096797736653,0.07701580453964627,0.8561473564664308,0.07685333357978864,0.11792446677208077
55344,0.96,0.986,0.992,1,0.565,0.95,0.975,0.974,13.78,9.14,7.362,-12.12,29.86,18.72,14.46,14.66,N,30,Vacuum Beef Striploins,Spoilage,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",6.398215195354855,12.645188671514411,11.10282569341445,2.2671435712859647,7.191170852792084,13.941320510344639,13.277448105090132,0,7.153856416668342,13.318023943491813,13.277448105090132,0,7.143282217906123,13.277448105090132,13.277448105090132,0
56537,0.963,0.983,0.992,0.992,0.911,0.992,0.991,0.99,34.97,28.45,21.76,23.47,48.15,22.25,22.47,24.17,CFU,15,Raw Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.1926328129952687,11.795718967119775,0.09717107332810011,0.19866494631409554,1.098233055533146,13.004780161249554,0.36165045850088323,16.65327062678888,1.1015439730058805,12.242212921519394,0.2994043280482018,11.483264618090065,0.02725558708667766,12.230265593323095,0.28909992912768845,1.1896865587810082
56876,0.946,0.947,0.996,0.997,0.982,0.997,0.996,0.996,25.32,27.13,10.61,11.94,19.38,7.744,10.93,11.1,CFU,4,Cooked Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.03164346043043756,11.144836634979615,0.0207324261044434,0.03833354936113926,1.186764883403107,11.902576575449016,0.11321605586846888,195.1818833712296,1.238236892955401,11.31292183341754,0.0922549246516901,180.6749017074994,1.2611819476904618,11.309933917976274,0.09226885168797017,181.48410805309217
57126,0.00157,0.0532,0.0594,0.0731,0.0204,-3.32,0.014,-98.2,-152.4,-150.4,-147.6,-145,-149.8,-118.6,-146.7,-59.12,CFU,0,TGE agar,Arthrobacter globiformis,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.9050173669785158,1.9030212627945593,0.02503653890310032,0.003812738392328079,1.9097057935550275,1.8187674224333594,0.0031911532842694977,0.03992779204267075,1.9030014958864554,1.9040748120141082,0.06276831329777077,454.6875,1.892660472670425,2.005191083232779,0.0031911532842694977,454.6875
57824,0.707,0.917,0.992,0.999,0.999,1,0.996,0.996,32.72,24.72,7.878,-4.81,-10.19,-17.79,1.682,2.108,CFU,37,TGE agar,Arthrobacter simplex,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.7026611703797523,8.6882512401505,0.06693183557115497,0.08461256196050435,1.167750707211725,8.700408944272237,0.35238713093128143,0,1.695656375314322,8.694376232492468,0.276773478080467,0,1.8492962559993134,8.696131501635575,0.27532750180368737,1.1269881370020571
58065,0.95,0.981,0.992,0.992,-0.417,0.991,0.994,0.994,15.85,11.17,7.307,8.615,41.26,7.476,5.397,4.357,N,15,C02 Beef Striploins,Spoilage,1,"Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",4.812074211993433,12.138511614780654,2.195599256338105,3.503553572009596,6.828295712319096,13.382709055295672,3.933165366598032,1.790692241256807,6.8317710370077736,13.28391267221922,3.279405386498542,1.5688393137414598,6.894073352506721,12.745437195519687,3.2373436383553713,1.5872062097318733
58210,0.86,0.991,0.995,1,0.996,0.994,1,0.999,22.16,7.427,6.054,-10.93,2.628,6.659,-14.1,-7.993,CFU,4,Salted Chicken Breast,Aerobic Psychotropic.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.18517448476881135,9.140522700721688,0.017018028719337445,0.0614657414211638,1.719003323932756,9.413897137255278,0.0918351897105762,159.07001636554807,1.7444843423694574,8.908450033647942,0.07866448546425352,148.44198297992568,2.069228830535085,8.877225787358329,0.07941737565890147,158.86168904209
58673,0.661,0.918,0.947,0.962,0.554,0.979,0.983,0.984,47.11,29.82,26.53,24.54,53.6,13.67,10.46,9.386,CFU,0,TGE agar,Arthrobacter citreus,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",0.13753560995012232,5.960047023308679,0.014257100388926197,0.23679058150640248,1.8312262181694077,6.570951843197819,0.08767053346919289,290.672254012117,1.8328139621216468,6.323409172887395,0.0824415435530163,290.672254012117,1.8816647798066661,6.258049374474113,0.07882794589222449,290.672254012117
58722,0.973,0.984,0.995,0.995,0.903,0.988,0.993,0.993,16.58,14.55,7.583,9.579,28.93,14.16,9.742,10.38,N,6,Pasteurised Full-fat Milk,Serratia marcescens,1,"Phillips, J.D. and Griffiths, M.W., 1987. The relation between temperature and growth of bacteria in dairy products. Food Microbiology, 4(2), pp.173-185.",0.09779494093465443,9.06926407963536,7.88252537576402e-4,0.15643677796200312,1.1504701585473904,9.998863647797984,0.002620102123001259,3012.5561540596127,1.004262401949311,9.591002979059482,0.0021050622589412612,2155.700855676714,0.9999999991538646,9.522727283617128,0.0020624405816969038,2070.036841776471
59320,0.852,0.979,0.98,0.989,0.96,0.992,0.98,0.976,43.64,30.1,31.92,29.31,35.3,24.84,31.77,33.34,CFU,15,APT Broth,Pseudomonas sp.,1,"Stannard, C.J., Williams, A.P. and Gibbs, P.A., 1985. Temperature/growth relationships for psychrotrophic food-spoilage bacteria. Food Microbiology, 2(2), pp.115-122.",0.194032875651241,19.02669571342263,0.21960098178337958,0.3020968142239398,0.6543283750091132,19.47868468478625,1.2433450445578669,5.359860756626646,1.2446180134987461,19.02669571342263,0.8430901054596223,0,1.6554744320459576,19.265637779636304,0.7701241365819472,0
59450,0.898,0.994,0.997,0.999,0.983,0.99,0.993,0.972,19.23,4.145,1.346,-6.252,10.16,9.134,6.407,15.11,CFU,4,Salted Chicken Breast,Staphylococcus spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.19261742264577006,8.64083525376926,0.016682271494973335,0.12471363935305843,0.0801056745947851,9.294948330131309,0.07282867700968534,88.11905718577322,0,8.6796237376263,0.059229891567034565,61.50373389561017,0.28334563945581426,9.294948330131309,0.057738811725744424,69.14157984692191
59514,0.735,0.836,0.836,0.869,0.87,0.905,0.908,0.908,40.3,38.19,40.37,40.56,36.09,35.5,35.23,35.22,CFU,37,TGE agar,Arthrobacter citreus,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",0.7516770410686106,8.953642333238422,0.04972144558948935,0.7215945683237001,1.9182065899559249,8.862647748095846,0.552543519659307,41.286696246507276,1.8959672063576023,8.836146467400468,0.4110933250729735,37.86475865104441,1.8948179514838732,8.831914043597958,0.4028418356902013,37.57208762703056
60853,0.664,0.882,0.965,0.989,0.919,0.998,0.994,0.998,-1.987,-16.94,-34.92,-52.3,-23.28,-79.81,-64.38,-80.04,OD_595,35,TSB,Clavibacter.michiganensis,1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",6.760511047305161e-4,0.7907772100008713,0.8303160705009149,0.001402824559885007,0.018085972202434027,0.80208175858544,0.12428889804097051,2.23484848484847,0,0.803751578272018,0.16125419413178588,2.23484848484847,0.026732849804056803,0.7961584535505338,0.10745781038349071,1.5653887406856415
61271,0.0895,0.219,0.254,0.363,0.149,-1.43,0.268,-45.7,-114.2,-113.9,-111.9,-111.6,-112.5,-92.96,-112.2,-45.69,CFU,37,TGE agar,Arthrobacter sp. 88,1,"Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",1.9026494917027972,1.9111864635884852,0.005582601336908706,0.005552128371215985,1.9203328406623439,1.9097145979470054,0.0032005678704151034,509.040463946087,1.906353383038511,1.9159430468070542,0.0032005678704151034,509.040463946087,1.8976931250194928,2.0163494826954613,0.0032005678704151034,509.040463946087
61750,0.876,0.988,0.988,0.989,0.969,0.988,0.987,0.966,43.03,19.98,22.37,23.21,30.25,21.7,23,33.47,CFU,10,Cooked Chicken Breast,Pseudomonas spp.,1,"Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",0.1455870772768275,11.213133393629676,0.06058464090495376,0.09120368179832176,0,11.963440718724172,0.3002176998846885,28.071575788865385,0,11.38753420975901,0.25332793476726473,22.345627102179733,0.05090660609731788,12.362479566476717,0.25174079240618225,22.612314498500698
62429,0.803,0.959,0.982,0.996,0.985,0.98,0.946,0.988,-102.5,-144.5,-165.8,-202.6,-173.9,-161.5,-133.4,-177.2,OD_595,5,TSB,Pseudomonas.fluorescens,2,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.006225801641596522,0.21651426802450066,0.016477776942765022,0.0015376230134229417,0.015412361369058089,0.21651426802450066,0.0021613444582487436,109.92934305690378,0.03939664494194054,0.21842718101840963,0.02245215401288811,264.09736308316445,0.007590956054954793,0.21651426802450066,0.0015379840649413833,62.432020086071816
62473,0.724,0.871,0.892,0.913,0.55,0.945,0.935,0.937,35.45,29.51,29.93,29.99,43.2,22.5,24.33,23.9,N,8,ESAW,Tetraselmis tetrahele,3,"Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697.",9.435532688370355,13.85625507525009,0.014369747655515174,1.5796245614399118,9.836626294270925,14.097087897928839,0.04890146409180297,102.94995731500342,9.852665549780994,14.059641637280324,0.04423447380419889,101.02943148725774,10.172622181114727,14.068025691983904,0.03197507087342595,81.78876806050405
